Município;;CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE;Total
110001 Alta Floresta D'Oeste;110001;4;4
110037 Alto Alegre dos Parecis;110037;1;1
110034 Alvorada D'Oeste;110034;1;1
110002 Ariquemes;110002;5;5
110045 Buritis;110045;2;2
110003 Cabixi;110003;1;1
110060 Cacaulândia;110060;2;2
110004 Cacoal;110004;6;6
110070 Campo Novo de Rondônia;110070;1;1
110080 Candeias do Jamari;110080;2;2
110090 Castanheiras;110090;1;1
110005 Cerejeiras;110005;5;5
110006 Colorado do Oeste;110006;3;3
110007 Corumbiara;110007;2;2
110008 Costa Marques;110008;2;2
110009 Espigão D'Oeste;110009;2;2
110100 Governador Jorge Teixeira;110100;2;2
110010 Guajará-Mirim;110010;2;2
110011 Jaru;110011;11;11
110012 Ji-Paraná;110012;17;17
110013 Machadinho D'Oeste;110013;14;14
110130 Mirante da Serra;110130;3;3
110140 Monte Negro;110140;8;8
110014 Nova Brasilândia D'Oeste;110014;7;7
110033 Nova Mamoré;110033;3;3
110143 Nova União;110143;1;1
110050 Novo Horizonte do Oeste;110050;1;1
110015 Ouro Preto do Oeste;110015;4;4
110018 Pimenta Bueno;110018;4;4
110020 Porto Velho;110020;75;75
110025 Presidente Médici;110025;3;3
110147 Primavera de Rondônia;110147;1;1
110028 Rolim de Moura;110028;3;3
110149 São Francisco do Guaporé;110149;2;2
110032 São Miguel do Guaporé;110032;4;4
110160 Theobroma;110160;1;1
110030 Vilhena;110030;7;7
120001 Acrelândia;120001;6;6
120005 Assis Brasil;120005;3;3
120010 Brasiléia;120010;9;9
120013 Bujari;120013;3;3
120020 Cruzeiro do Sul;120020;7;7
120025 Epitaciolândia;120025;8;8
120030 Feijó;120030;3;3
120033 Mâncio Lima;120033;2;2
120035 Marechal Thaumaturgo;120035;2;2
120038 Plácido de Castro;120038;1;1
120080 Porto Acre;120080;1;1
120040 Rio Branco;120040;79;79
120042 Rodrigues Alves;120042;2;2
120043 Santa Rosa do Purus;120043;1;1
120050 Sena Madureira;120050;1;1
120045 Senador Guiomard;120045;6;6
120060 Tarauacá;120060;5;5
120070 Xapuri;120070;4;4
130002 Alvarães;130002;1;1
130014 Apuí;130014;4;4
130030 Autazes;130030;7;7
130050 Barreirinha;130050;3;3
